L,v0,C,t,angle,velocity,accel
0.15,1.25,0.05,0.0,1.5707963267948966,1.25,-66.78888888888889
0.15,1.25,0.05,0.02,1.582537296544416,-0.07099474812881926,-65.31660929118517
0.15,1.25,0.05,0.04,1.5681500064120943,-1.3629676042875014,-63.88536255244702
0.15,1.25,0.05,0.06,1.5282094203132817,-2.6262265172469266,-62.42267332067121
0.15,1.25,0.05,0.08,1.4633070660090177,-3.858401118313957,-60.735437399463606
0.15,1.25,0.05,0.1,1.3741278171903084,-5.052179181541942,-58.525751958795084
0.15,1.25,0.05,0.12,1.2615681902324396,-6.19344207036146,-55.41639393538901
0.15,1.25,0.05,0.14,1.1268857998497603,-7.2600789456014985,-50.99461887945351
0.15,1.25,0.05,0.16,0.9718621605935671,-8.22191927892036,-44.88081138633724
0.15,1.25,0.05,0.18,0.7989514791938787,-9.042283056735656,-36.82030593948134
0.15,1.25,0.05,0.2,0.6113791049506657,-9.681479588723866,-26.782223589502987
0.15,1.25,0.05,0.22,0.41315140121691935,-10.102095832615765,-15.033389467406606
0.15,1.25,0.05,0.24,0.20894859410955785,-10.275191841831134,-2.1491387943901064
0.15,1.25,0.05,0.26,0.003897193318295994,-10.18585860218796,11.06274487126284
0.15,1.25,0.05,0.28,-0.19674798248276593,-9.83644393287285,23.713845578110146
0.15,1.25,0.05,0.3,-0.387953075790861,-9.246366270810105,35.01419414095983
0.15,1.25,0.05,0.32,-0.5652163249708916,-8.448606964984023,44.41548356645301
0.15,1.25,0.05,0.34,-0.724785281606443,-7.48409499197835,51.67420718750626
0.15,1.25,0.05,0.36,-0.8637550165467885,-6.3957090531221095,56.82912154958019
0.15,1.25,0.05,0.38,-0.9800553861417513,-5.223376753126281,60.12029757174824
0.15,1.25,0.05,0.4,-1.072358413213488,-4.00105228138431,61.8884214794968
0.15,1.25,0.05,0.42,-1.1399450289326634,-2.7556378462560063,62.48494908810764
0.15,1.25,0.05,0.44,-1.1825666281547194,-1.5074573216448248,62.20792762962818
0.15,1.25,0.05,0.46,-1.2003270752477355,-0.27173612568373257,61.26503308390959
0.15,1.25,0.05,0.48,-1.1936001160376575,0.9394108854690848,59.758653356847184
0.15,1.25,0.05,0.5,-1.162988388578953,2.114861150189606,57.686856907149384
0.15,1.25,0.05,0.52,-1.1093237639558051,3.242508344796806,54.95622807343409
0.15,1.25,0.05,0.54,-1.0337039304391806,4.307649950795212,51.405399486946244
0.15,1.25,0.05,0.56,-0.9375557780785126,5.291957237104531,46.83991075021525
0.15,1.25,0.05,0.58,-0.8227116359389577,6.173258960151004,41.078570479927095
0.15,1.25,0.05,0.6,-0.691479900968716,6.926345509341291,34.0081920978888
0.15,1.25,0.05,0.62,-0.5466885004659309,7.52488382103362,25.63794265627704
0.15,1.25,0.05,0.64,-0.3916798490265404,7.944298587055052,16.138901264969533
0.15,1.25,0.05,0.66,-0.2302421197196514,8.165160354820364,5.852746854569412
0.15,1.25,0.05,0.68,-0.06647365609010403,8.176344278120947,-4.740650819997827
0.15,1.25,0.05,0.7000000000000001,0.09540659753869027,7.9771421892919285,-15.093621211806473
0.15,1.25,0.05,0.72,0.25127511549238846,7.577729592441975,-24.680705387318486
0.15,1.25,0.05,0.74,0.39731117598831905,6.997860088051694,-33.08130007827306
0.15,1.25,0.05,0.76,0.5301633616669056,6.264186564728538,-40.031305471659266
0.15,1.25,0.05,0.78,0.6470548658963081,5.40695926647135,-45.433416914130866
0.15,1.25,0.05,0.8,0.7458233119040132,4.456900783472476,-49.33103386640167
0.15,1.25,0.05,0.8200000000000001,0.824905011936804,3.4428470412041507,-51.86059499884669
0.15,1.25,0.05,0.84,0.8832821750419401,2.3904174537943583,-53.198837521923885
0.15,1.25,0.05,0.86,0.9204137244056423,1.32168344332527,-53.51727068103667
0.15,1.25,0.05,0.88,0.9361677896933043,0.2556180124197434,-52.9501157911639
0.15,1.25,0.05,0.9,0.9307685697745779,-0.7909622229519263,-51.577131536697614
0.15,1.25,0.05,0.92,0.9047645437134275,-1.802252159386131,-49.420189666861795
0.15,1.25,0.05,0.9400000000000001,0.8590194392336077,-2.762366849091424,-46.451743343935036
0.15,1.25,0.05,0.96,0.7947226264480308,-3.65452356748482,-42.61339289838857
0.15,1.25,0.05,0.98,0.713411585042118,-4.460679961593362,-37.84257307391749
0.15,1.25,0.05,1.0,0.6169958629568734,-5.161763575668542,-32.104332249054096
0.15,1.25,0.05,1.02,0.5077699805137365,-5.738548505477666,-25.423263743115307
0.15,1.25,0.05,1.04,0.3884027403045116,-6.173115456667629,-17.908656773059786
0.15,1.25,0.05,1.06,0.261893144631902,-6.4506831497435595,-9.765262517720847
0.15,1.25,0.05,1.08,0.1314887994875552,-6.56146121381182,-1.2840969252335475
0.15,1.25,0.05,1.1,0.0005705088504246517,-6.502109649883318,7.187255000854375
0.15,1.25,0.05,1.12,-0.1274852685645235,-6.276444463849044,15.288797798213487
0.15,1.25,0.05,1.1400000000000001,-0.2494488107651502,-5.895206608211863,22.695518905939657
0.15,1.25,0.05,1.16,-0.3623658564431812,-5.3749555277289485,29.155651571124324
0.15,1.25,0.05,1.18,-0.46365762631996066,-4.736367008726663,34.51098512240225
0.15,1.25,0.05,1.2,-0.551184116908946,-4.002330367175739,38.69677509397197
0.15,1.25,0.05,1.22,-0.6232705704528496,-3.196224786009642,41.72494161077836
0.15,1.25,0.05,1.24,-0.6787035949587629,-2.3406395743149817,43.65781345314835
0.15,1.25,0.05,1.26,-0.7167071755540931,-1.4566488482241338,44.580120867001376
0.15,1.25,0.05,1.28,-0.7369095842412576,-0.5636121304550817,44.575200537391
0.15,1.25,0.05,1.3,-0.7393105833724977,0.3206221954866704,43.70887610164253
0.15,1.25,0.05,1.32,-0.7242553342743712,1.179279794467583,42.02228227216964
0.15,1.25,0.05,1.34,-0.6924178905669103,1.996168188403581,39.53340242316122
0.15,1.25,0.05,1.36,-0.6447936985051985,2.755293388876024,36.24615839528492
0.15,1.25,0.05,1.3800000000000001,-0.582697531801676,3.440718845721219,32.165181499537475
0.15,1.25,0.05,1.4000000000000001,-0.5077610391586851,4.036755396938669,27.31363398811204
0.15,1.25,0.05,1.42,-0.4219228923944907,4.528510046779031,21.75063390212378
0.15,1.25,0.05,1.44,-0.32740469686392937,4.9027460551394535,15.58427280907846
0.15,1.25,0.05,1.46,-0.22666759165621025,5.148926691633586,8.976417615955427
0.15,1.25,0.05,1.48,-0.12234769660367067,5.260250922260167,2.136868594207015
0.15,1.25,0.05,1.5,-0.01717274602107583,5.234464101855986,-4.693028834538759
0.15,1.25,0.05,1.52,0.08613365106541718,5.074258692088162,-11.26424319240197
0.15,1.25,0.05,1.54,0.18495073964448822,4.787166795837804,-17.346010841526212
0.15,1.25,0.05,1.56,0.27685218242038423,4.384963224167295,-22.7479017002355
0.15,1.25,0.05,1.58,0.35968177774795573,3.8827065395442113,-27.333374430330373
0.15,1.25,0.05,1.6,0.4316079714693082,3.297612555972067,-31.02291719396569
0.15,1.25,0.05,1.62,0.49115588247753333,2.6479627904638074,-33.78779308864626
0.15,1.25,0.05,1.6400000000000001,0.5372192187059271,1.952207051075761,-35.63749743925676
0.15,1.25,0.05,1.6600000000000001,0.5690569825241747,1.228347342318569,-36.604827835466395
0.15,1.25,0.05,1.68,0.5862808140012779,0.49361397572897453,-36.732106025608374
0.15,1.25,0.05,1.7,0.5888384028406358,-0.23561620896807983,-36.06106529804357
0.15,1.25,0.05,1.72,0.5769969653217126,-0.9437479555880333,-34.627715280832064
0.15,1.25,0.05,1.74,0.5513288380946337,-1.6158454869154617,-32.46242020072708
0.15,1.25,0.05,1.76,0.5126991734136632,-2.237559489392439,-29.594560292478175
0.15,1.25,0.05,1.78,0.46225391968307333,-2.7951826439144174,-26.060457667010258
0.15,1.25,0.05,1.8,0.4014049799691152,-3.2758811638594523,-21.912698787772484
0.15,1.25,0.05,1.82,0.3318088895980396,-3.668108293000135,-17.228621557739764
0.15,1.25,0.05,1.84,0.25533569830582836,-3.962160045109032,-12.115693472180475
0.15,1.25,0.05,1.86,0.17402596862025227,-4.150791420090629,-6.7119476327653445
0.15,1.25,0.05,1.8800000000000001,0.0900357385077355,-4.229784069314464,-1.1806248755147308
0.15,1.25,0.05,1.9000000000000001,0.005571582080319002,-4.198351350415843,4.300455250959846
0.15,1.25,0.05,1.92,-0.07718003933429562,-4.059293471909287,9.552890947575722
0.15,1.25,0.05,1.94,-0.15612365393506272,-3.818862332114028,14.412238444599854
0.15,1.25,0.05,1.96,-0.229320145912422,-3.4863544761570786,18.740162192076813
0.15,1.25,0.05,1.98,-0.2950418371563742,-3.0735044799643587,22.432009113390187
0.15,1.25,0.05,2.0,-0.35181427785751274,-2.593781093686734,25.41891874705486
