L,v0,C,t,angle,velocity,accel
0.1,0.0,0.0,0.0,1.5707963267948966,0.0,-98.1
0.1,0.0,0.0,0.02,1.551176580804306,-1.9619243100401142,-98.0811195717299
0.1,0.0,0.0,0.04,1.4923324423463025,-3.9215842151913565,-97.79817459269722
0.1,0.0,0.0,0.06,1.394399582993771,-5.867694590012202,-96.5777228488567
0.1,0.0,0.0,0.08,1.257902472782406,-7.77129105839706,-93.33692993759256
0.1,0.0,0.0,0.1,1.0841833478820087,-9.578618521409206,-86.71272998795178
0.1,0.0,0.0,0.12,0.8759377119713851,-11.208136218661183,-75.35494946562005
0.1,0.0,0.0,0.14,0.6377382428400061,-12.555309141878617,-58.406755397383286
0.1,0.0,0.0,0.16,0.3763585957116363,-13.50806354688216,-36.055318321998264
0.1,0.0,0.0,0.18,0.10068700774534248,-13.971624772601038,-9.860714619815065
0.1,0.0,0.0,0.2,-0.17889081894869563,-13.894926009281427,17.455737688757157
0.1,0.0,0.0,0.22,-0.45155300152102923,-13.286646527333698,42.80725000507853
0.1,0.0,0.0,0.24,-0.7072418839018473,-12.212402392784716,63.73945910193333
0.1,0.0,0.0,0.26,-0.937623555055555,-10.774628384360538,79.08372923869634
0.1,0.0,0.0,0.28,-1.1365543384758312,-9.085473391690225,88.99526206409332
0.1,0.0,0.0,0.3,-1.3000335830404492,-7.2440956343564205,94.52593921001542
0.1,0.0,0.0,0.32,-1.4258017921845616,-5.324317187099872,97.07060683493123
0.1,0.0,0.0,0.34,-1.5127971848500337,-3.372395667640053,97.9350469303801
0.1,0.0,0.0,0.36,-1.5606413227242397,-1.411515939124026,98.09494180598723
0.1,0.0,0.0,0.38,-1.5692518978805123,0.5504693509173997,98.09988300298731
0.1,0.0,0.0,0.4,-1.5386236182326873,2.51220942334522,98.04923354939085
0.1,0.0,0.0,0.42,-1.4687885184814102,4.469814347571284,97.59004809162248
0.1,0.0,0.0,0.44,-1.3599568405772522,6.4078784842588234,95.92763150573448
0.1,0.0,0.0,0.46,-1.2128331576750582,8.29108274246651,91.88167691586973
0.1,0.0,0.0,0.48,-1.0290830132587547,10.057914993818162,84.05468423750777
0.1,0.0,0.0,0.5,-0.811880343130825,11.619472634684044,71.17963214714703
0.1,0.0,0.0,0.52,-0.5663966722828082,12.86706625533921,52.639960366917244
0.1,0.0,0.0,0.54,-0.3000296929196386,13.690700531934331,28.993315036870673
0.1,0.0,0.0,0.56,-0.022172883897554813,14.005418864936379,2.1749816832954925
0.1,0.0,0.0,0.58,0.2565454953367058,13.776023405003967,-24.891955400686953
0.1,0.0,0.0,0.6,0.525400530099397,13.028321439573785,-49.20299212433281
0.1,0.0,0.0,0.62,0.7747397793588183,11.840824707937724,-68.62390718119721
0.1,0.0,0.0,0.64,0.9968204540887547,10.321419964038402,-82.3793590740502
0.1,0.0,0.0,0.66,1.1861240781765208,8.5805070794974,-90.93099649326949
0.1,0.0,0.0,0.68,1.3391890029592157,6.710900441310441,-95.4806028356376
0.1,0.0,0.0,0.7000000000000001,1.454147913614525,4.778551202118029,-97.43334033767223
0.1,0.0,0.0,0.72,1.530178415193019,2.822595030661385,-98.01908771196902
0.1,0.0,0.0,0.74,1.5670173977745558,0.8610596165214155,-98.09929955189583
