model_num, n_exps, n_pts_axis, r2, rmse, mae, mape, exe_time, param
random_forest,27,3,0.7729318295105406,0.3281506490278377,0.21662574918421296,3.655750439432109,0:00:01.173032,n_est=100
random_forest,64,4,0.74262985040757,0.3493608412115083,0.20782408008259215,2.719703269296081,0:00:03.595948,n_est=100
random_forest,125,5,0.804396799911496,0.3045671889615659,0.17865674530624315,2.4330958848040924,0:00:08.778984,n_est=100
random_forest,216,6,0.8107207425363572,0.2996033388470094,0.16841098139618396,2.1797108721944,0:00:18.781658,n_est=100
random_forest,343,7,0.817970292883164,0.29380979645187966,0.16784969481166465,2.0886606869680246,0:00:36.599519,n_est=100
random_forest,27,3,0.816153841397687,0.29527210291298084,0.16805936050477654,2.0933128393244482,0:01:13.547101,n_est=200
random_forest,64,4,0.8164474115474473,0.29503625978138087,0.16664357578755165,2.071159347761128,0:01:20.083325,n_est=200
random_forest,125,5,0.8101429415104262,0.3000602806396537,0.1667332127908553,2.1038298840312755,0:01:33.445540,n_est=200
random_forest,216,6,0.8115090506925675,0.29897879556124507,0.16496344366359733,1.984696964096333,0:01:57.840721,n_est=200
random_forest,343,7,0.7970540492386153,0.3102310997740089,0.1678138724241262,2.06450988081606,0:02:44.269455,n_est=200
extra_tree,27,3,0.7978639500235414,0.3096114579794753,0.175003538417296,2.309847529308548,0:00:30.467628,n_est=100
extra_tree,64,4,0.7957882508909833,0.3111970702710815,0.17484233107739391,2.301237759298509,0:00:31.406475,n_est=100
extra_tree,125,5,0.7886047727510334,0.31662319433300185,0.17568067353144307,2.2851486451011573,0:00:33.840705,n_est=100
extra_tree,216,6,0.7896566444829587,0.3158344766207674,0.1765213130015529,2.299418716064378,0:00:38.860369,n_est=100
extra_tree,343,7,0.78884760662895,0.31644128641538194,0.17667827082598567,2.317534468902945,0:00:45.346553,n_est=100
extra_tree,27,3,0.7914183983565686,0.3145090422832027,0.17571723031892353,2.2503479935179116,0:01:14.836962,n_est=200
extra_tree,64,4,0.789399429539277,0.3160275241433492,0.17614486792123724,2.2339955778100267,0:01:16.946741,n_est=200
extra_tree,125,5,0.7909861451642632,0.31483475935694344,0.17606236399744896,2.314908368448779,0:01:21.627354,n_est=200
extra_tree,216,6,0.7924495820873039,0.3137306456335158,0.17529445580244712,2.3017503815435094,0:01:33.463645,n_est=200
extra_tree,343,7,0.7928917739022054,0.31339626159482953,0.17506799616796725,2.2509167598333075,0:01:50.751704,n_est=200
xgboost,27,3,0.7907730935656081,0.3149951768675309,0.1756883103778054,2.312524782146939,0:00:41.144517,n_est=100
xgboost,64,4,0.7797558248972392,0.3231821403015005,0.1794091831306572,2.433057351441706,0:00:42.175590,n_est=100
xgboost,125,5,0.7942455992031803,0.3123702776530667,0.17576242111143517,2.421610278796326,0:00:44.260223,n_est=100
xgboost,216,6,0.8044751218538422,0.3045062066203507,0.17196968915363647,2.381466723644019,0:00:51.036148,n_est=100
xgboost,343,7,0.7809175935828068,0.32232863456446903,0.18148827726876496,2.5291495909346486,0:00:57.437392,n_est=100
xgboost,27,3,0.8037984509675562,0.305032667805317,0.16509292455097557,2.297897343758598,0:01:15.632615,n_est=200
xgboost,64,4,0.7879136709863558,0.31714033064702757,0.17276354850167636,2.248755457309649,0:01:13.188673,n_est=200
xgboost,125,5,0.7884056714544183,0.31677226404677034,0.172605606854902,2.299076312015057,0:01:17.659966,n_est=200
xgboost,216,6,0.7929021668399088,0.3133883981971582,0.1708275699091382,2.3655680752635586,0:01:27.489269,n_est=200
xgboost,343,7,0.7918104750604389,0.3142133074957282,0.17061171501543662,2.2488518666647552,0:01:40.503203,n_est=200
lightgbm,27,3,0.7898988504966626,0.3156525858183403,0.20774708224500757,3.7600642560690405,0:01:03.434942,n_est=100
lightgbm,64,4,0.7883184520662333,0.3168375442381114,0.20720087901790266,3.7041978580484427,0:01:02.958613,n_est=100
lightgbm,125,5,0.7949789296758532,0.3118131203941612,0.20571061696381843,3.6689529022527654,0:01:04.566208,n_est=100
lightgbm,216,6,0.7924411228536348,0.3137370390048857,0.20727876451771857,3.773839353347752,0:01:09.166448,n_est=100
lightgbm,343,7,0.7889059443451181,0.31639756979700046,0.20872692384621008,3.845229684760939,0:01:18.052222,n_est=100
lightgbm,27,3,0.7904005133662673,0.31527551548818733,0.19698275569612758,3.3696839208926734,0:01:21.916866,n_est=200
lightgbm,64,4,0.7926131339344393,0.31360700979712547,0.19609235715682946,3.223318618032273,0:01:25.460495,n_est=200
lightgbm,125,5,0.7923884432594824,0.3137768505791972,0.1932452579540271,3.0389997518217533,0:01:27.006107,n_est=200
lightgbm,216,6,0.7874482985352024,0.3174880840845637,0.19923800265879468,3.2490895772994155,0:01:31.482444,n_est=200
lightgbm,343,7,0.7858600487421095,0.3186720593386768,0.19970437208972638,3.210142876198397,0:01:43.162372,n_est=200
